Time,Variable,AssetId,Value
2019-11-25 12:28:42.1130000,power,abc123xyz,-435.1400146
2019-11-25 12:28:43.1640000,power,abc123xyz,-434.1140136
2019-11-25 12:28:44.7130000,power,abc123xyz,-437.1910095
2019-11-25 12:28:46.7440000,power,abc123xyz,-436.0310058
2019-11-25 12:28:48.4550000,power,abc123xyz,-437.1010131
2019-11-25 12:28:51.6860000,power,abc123xyz,-435.8080139
2019-11-25 12:28:53.0240000,power,abc123xyz,-440.0889892
2019-11-25 12:28:55.0460000,power,abc123xyz,-436.1199951
2019-11-25 12:28:57.7220000,power,abc123xyz,-440.8469848
2019-11-25 12:28:59.3850000,power,abc123xyz,-443.8789978
2019-11-25 13:09:01.0590000,power,abc123xyz,-420.6929931
2019-11-25 13:09:02.8430000,power,abc123xyz,-417.7049865
2019-11-25 13:09:07.1560000,power,abc123xyz,-416.2340087
2019-11-25 13:09:08.7650000,power,abc123xyz,-417.9729919
2019-11-25 13:09:10.5060000,power,abc123xyz,-415.3420104
2019-11-25 13:09:15.2550000,power,abc123xyz,-418.5969848
2019-11-25 13:09:17.1050000,power,abc123xyz,-415.2529907
2019-11-25 13:09:21.7590000,power,abc123xyz,-425.4190063
2019-11-25 13:09:24.8740000,power,abc123xyz,-429.7890014
2019-11-25 13:09:26.2040000,power,abc123xyz,-417.928009
2019-11-25 13:09:37.0490000,power,abc123xyz,-419.8009948
2019-11-25 13:09:38.1390000,power,abc123xyz,-417.7950134
2019-11-25 13:09:42.4590000,power,abc123xyz,-419.2659912
2019-11-25 13:09:44.8930000,power,abc123xyz,-417.6610107
2019-11-25 13:09:49.5210000,power,abc123xyz,-419.7560119
2019-11-25 13:09:50.9790000,power,abc123xyz,-417.2149963
2019-11-25 13:10:04.3360000,power,abc123xyz,-422.0310058
2019-11-25 13:10:06.6760000,power,abc123xyz,-425.8649902
2019-11-25 13:10:10.7420000,power,abc123xyz,-430.2789916
2019-11-25 13:10:11.9130000,power,abc123xyz,-417.4379882
2019-11-25 13:10:21.2800000,power,abc123xyz,-419.8009948
2019-11-25 13:10:22.3370000,power,abc123xyz,-421.0499877
2019-11-25 13:10:23.8550000,power,abc123xyz,-419.0429992
2019-11-25 13:10:30.7930000,power,abc123xyz,-417.9729919
2019-11-25 13:10:32.5030000,power,abc123xyz,-421.6289978
2019-11-25 13:10:37.5700000,power,abc123xyz,-425.0180053
2019-11-25 13:10:48.5900000,power,abc123xyz,-421.316986
2019-11-25 13:10:50.9310000,power,abc123xyz,-430.6809997
2019-11-25 13:10:53.1000000,power,abc123xyz,-432.7319946
2019-11-25 13:10:58.8670000,power,abc123xyz,-430.9930114
2019-11-25 13:11:01.3050000,power,abc123xyz,-429.6109924
2019-11-25 13:11:05.4010000,power,abc123xyz,-422.6549987
2019-11-25 13:11:07.5290000,power,abc123xyz,-420.3810119
2019-11-25 13:11:08.6270000,power,abc123xyz,-424.4830017
2019-11-25 13:11:15.6860000,power,abc123xyz,-421.4509887
2019-11-25 13:11:22.6750000,power,abc123xyz,-423.7250061
2019-11-25 13:11:33.1560000,power,abc123xyz,-426.1329956
2019-11-25 13:11:46.8430000,power,abc123xyz,-420.6480102
2019-11-25 13:11:50.4370000,power,abc123xyz,-417.7950134
2019-11-25 13:11:56.9880000,power,abc123xyz,-414.4949951
2019-11-25 13:12:03.0520000,power,abc123xyz,-416.322998
2019-11-25 13:12:11.4660000,power,abc123xyz,-417.7049865
